degree_to,thickness,deduction_value
22.5,1,-9.2
37.5,1,-9.2
52.5,1,-7
67.5,1,-4.4
82.5,1,-2.8
97.5,1,-1.8
112.5,1,-1.4
127.5,1,-1
142.5,1,-0.6
157.5,1,-0.4
172.5,1,0
180,1,0
22.5,1.5,-15.8
37.5,1.5,-15.8
52.5,1.5,-8.7
67.5,1.5,-5.7
82.5,1.5,-3.8
97.5,1.5,-2.5
112.5,1.5,-2
127.5,1.5,-1.3
142.5,1.5,-0.9
157.5,1.5,-0.6
172.5,1.5,0
180,1.5,0
22.5,2,-20
37.5,2,-20
52.5,2,-8.5
67.5,2,-6.3
82.5,2,-3.6
97.5,2,-3.5
112.5,2,-2.4
127.5,2,-1.6
142.5,2,-1
157.5,2,-0.5
172.5,2,0
180,2,0
22.5,3,-18
37.5,3,-18
52.5,3,-14.2
67.5,3,-9.5
82.5,3,-6.4
97.5,3,-5
112.5,3,-3.5
127.5,3,-2.2
142.5,3,-1
157.5,3,-0.5
172.5,3,0
180,3,0
22.5,4,-20
37.5,4,-20
52.5,4,-20
67.5,4,-13.4
82.5,4,-9.8
97.5,4,-7
112.5,4,-5.1
127.5,4,-3.7
142.5,4,-2.6
157.5,4,-1.6
172.5,4,-1
180,4,0
22.5,5,-9
37.5,5,-9
52.5,5,-9
67.5,5,-9
82.5,5,-9
97.5,5,-9
112.5,5,-6.2
127.5,5,-4.2
142.5,5,-2.8
157.5,5,-1.6
172.5,5,0.8
180,5,0
22.5,6,0
37.5,6,0
52.5,6,0
67.5,6,0
82.5,6,0
97.5,6,0
112.5,6,0
127.5,6,0
142.5,6,0
157.5,6,0
172.5,6,0
180,6,0
22.5,7,0
37.5,7,0
52.5,7,0
67.5,7,0
82.5,7,0
97.5,7,0
112.5,7,0
127.5,7,0
142.5,7,0
157.5,7,0
172.5,7,0
180,7,0
22.5,8,0
37.5,8,0
52.5,8,0
67.5,8,0
82.5,8,0
97.5,8,0
112.5,8,0
127.5,8,0
142.5,8,0
157.5,8,0
172.5,8,0
180,8,0
