degree_to,thickness,deduction_value
22.5,1,-2
37.5,1,-2
52.5,1,-2
67.5,1,-2
82.5,1,-2
97.5,1,-2
112.5,1,-1.3
127.5,1,-0.9
142.5,1,-0.6
157.5,1,-0.3
172.5,1,0
180,1,0
22.5,1.5,-20.5
37.5,1.5,-20.5
52.5,1.5,-11
67.5,1.5,-6.8
82.5,1.5,-4.4
97.5,1.5,-3.1
112.5,1.5,-2.2
127.5,1.5,-1.5
142.5,1.5,-1
157.5,1.5,-0.6
172.5,1.5,0
180,1.5,0
22.5,2,-22
37.5,2,-22
52.5,2,-12.1
67.5,2,-7.7
82.5,2,-5.2
97.5,2,-4
112.5,2,-2.6
127.5,2,-1.8
142.5,2,-1.3
157.5,2,-0.7
172.5,2,-0.4
180,2,0
22.5,3,-6
37.5,3,-6
52.5,3,-6
67.5,3,-6
82.5,3,-6
97.5,3,-6
112.5,3,-4.5
127.5,3,-2.6
142.5,3,-1.5
157.5,3,-1
172.5,3,0
180,3,0
22.5,4,-8
37.5,4,-8
52.5,4,-8
67.5,4,-8
82.5,4,-8
97.5,4,-8
112.5,4,-6.6
127.5,4,-5
142.5,4,-3
157.5,4,-2
172.5,4,-1
180,4,0
22.5,5,-10
37.5,5,-10
52.5,5,-10
67.5,5,-10
82.5,5,-10
97.5,5,-10
112.5,5,-7.5
127.5,5,-6
142.5,5,-3
157.5,5,-2
172.5,5,1
180,5,0
22.5,6,-13
37.5,6,-13
52.5,6,-13
67.5,6,-13
82.5,6,-13
97.5,6,-13
112.5,6,-10
127.5,6,-8
142.5,6,-5
157.5,6,-3
172.5,6,-1
180,6,0
22.5,7,0
37.5,7,0
52.5,7,0
67.5,7,0
82.5,7,0
97.5,7,0
112.5,7,0
127.5,7,0
142.5,7,0
157.5,7,0
172.5,7,0
180,7,0
22.5,8,0
37.5,8,0
52.5,8,0
67.5,8,0
82.5,8,0
97.5,8,0
112.5,8,0
127.5,8,0
142.5,8,0
157.5,8,0
172.5,8,0
180,8,0
